#MenusAndUI

sytx901	&New Game
sytx902	S&pecial Features
sytx903	M&ouse Speed
sytx904	&Graphics and Resolution Options...
sytx905	Graphics Options
sytx906	R&esolution
sytx907	&Return to Options Menu
sytx908	&Windowed
sytx909	R&ender Mode:
sytx910	&Director's Commentary
sytx911	Director's Commentary &Volume
sytx912	Remastered
sytx913	Original
sytx914	&Concept Art Gallery
sytx915	Special Features
sytx916	&Language
sytx917	English
sytx918	Deutsch
sytx919	Espaρol
sytx920	Franηais
sytx921	Italiano
sytx922	Portuguκs do Brasil
sytx923	Pick up item / Put away item / Skip Cutscene
sytx924	Use item / Talk / Skip Dialog
sytx925	Director's Commentary
sytx926	Press use or cancel to return to the main menu
sytx927	Move left/right to navigate help
styx928	Aspect:
styx929	Square (4:3)
styx930	Wide (16:9)
sytx931	Select
sytx932	Return to Game
sytx933	Return to Main Menu
sytx934	CONTROLS
sytx935	OPTIONS
sytx936	SPECIAL FEATURES
sytx937	COMMENTARY CREDITS
sytx938	Return to Special Features
sytx939	Move
sytx940	Examine Item
sytx941	Pause
sytx942	Run
sytx943	Open Inventory
sytx944	Pick Up Item
sytx945	Put Away Item
sytx946	Skip Cutscene
sytx947	Use Item
sytx948	Talk
sytx949	Skip Dialog
sytx950	GRAPHICS OPTIONS
sytx951	DIALOG TRANSCRIPT
sytx952	Scroll
sytx953	View Director's Commentary Credits
sytx954	CUTSCENES
sytx955	CONCEPT ART GALLERY
sytx956	YES
sytx957	NO
sytx958	Choose Option
sytx959	WAIT
sytx960	OK
sytx961	Square (4:3) with Borders
sytx962	Toggle Render Mode
sytx963	Slot {0}
sytx964	Exit
sytx965	Operate
sytx966	Unused Art
sytx967	Do not turn off the PlayStation®Vita system while the following icon is displayed on screen.
sytx968	Do not turn off the PlayStation®4 system while the following icon is displayed on screen.
sytx969	Automatic Cross-Save Sync
sytx970	Sync Cross-Save Data Now
sytx971	Your local save data is older than the current Cross-Save data. Use the latest Cross-Save data? Select "YES" to retrieve Cross-Save data and overwrite your local save data. Select "NO" to overwrite Cross-Save data with your local save data.
sytx972	Your local save data is newer than the current Cross-Save data. Overwrite the Cross-Save data? Select "YES" to overwrite Cross-Save data with your local save data. Select "NO" to retrieve Cross-Save data and overwrite your local save data.
sytx973	Connecting to "PSN". Please wait...
sytx974	Downloading Cross-Save data. Please wait...
sytx975	You are currently not connected to "PSN". Cross-Save data will not be synchronized until you connect.
sytx976	Cross-Save data exists in the current save slot but you do not have the data on this system. Download the latest Cross-Save data? Select "YES" to download Cross-Save data. Select "NO" to start a new game in this slot.
sytx977	The Cross-Save data in this slot is corrupt. Your current local save data will be uploaded as the Cross-Save data.
sytx978	Local save data will be erased. Do you also want to erase the Cross-Save data in this slot?
sytx979	The local save data is too large to be uploaded as Cross-Save data. Cross-Save upload failed.
sytx980	Cross-Save data upload failed. Save the game again with an active Internet connection to upload Cross-Save data.
sytx981	Cross-Save data download failed. Do you want to try to download the Cross-Save data again?
sytx982	Warning
sytx983	This game does not automatically save. Please save in the pause menu to avoid losing progress.
drcm000	Featuring:
drcm001	Project Leader
drcm002	Lead Artist
drcm003	Lead Programmer
drcm004	Music Composer and Producer
drcm005	Production Manager
drcm006	Programmer
drcm007	Character Animators
drcm008	Background Artists
drcm012	Lead Sound Designer
drcm009	Sound Designers
drcm010	Voice Producer/Director
drcm011	Quality Assurance Tester
drcm012	Lead Sound Designer
demo000	Thanks for playing!
demo001	Restart Demo
demo002	Loading...
popd001	Saving
popd002	Please wait...
popd003	Loading
popd004	Erase Game?
popd005	Are you sure you want to erase this save data?
popd006	Erasing...
popd007	Overwrite?
popd008	Are you sure you want to overwrite this save data?
sytx984	Resolution Scaling
sytx985	Advanced Lighting
sytx987	Native
sytx986	Lowest

# PC Keyboard stuff

keys001	Move Up
keys002	Move Down
keys003	Move Left
keys004	Move Right
keys005	Run
keys006	Examine
keys007	Use
keys008	Pick up
keys009	Inventory
keys010	Change active object
keys011	Skip dialog lines
keys012	Toggle render mode
keys013	Director's Commentary

keys100	Key is reserved
keys101	Key already assigned
keys102	Press a key
keys103	Assign new key

keys200	Change Key Bindings
keys201	KEY BINDINGS
keys202	Reset keys to default

#ExtraText

utxt009	MAP
utxt029	START A NEW GAME
utxt030	Hour
utxt031	Hours
utxt032	Minute
utxt033	Minutes
utxt034	BACK
utxt035	DELETE
utxt036	Confirm
utxt037	Cancel
utxt038	Are you sure you want to delete this data?
utxt050	Are you sure you want to exit the game?
utxt010	Options
utxt011	Exit Game
utxt074	CHOOSE YOUR SAVED GAME
utxt049	Loading...
utxt055	Credits
utxt062	Help
utxt064	Key Bindings
utxt072	Audio/Video
utxt073	Settings
utxt083	Fullscreen
utxt084	SSAO
utxt085	Shadows
utxt086	Reflections
utxt087	Anti-Aliasing
utxt088	V-Sync
utxt089	FXAA
utxt090	SSAA 2x
utxt091	SSAA 4x
utxt092	-
utxt107	60 Hz
utxt065	Saved game data for Grim Fandango Remastered
utxt078	No storage device was selected. Your progress will not be saved.
utxt079	Your storage device is no longer available! The game will return to the main menu.
utxt080	The game could not find a valid storage device.
utxt081	There is not enough free space to write save data onto the system storage.
utxt070	Grim Fandango Remastered Save Data
utxt066	Your storage device is no longer available! The game will return to the main menu.
utxt077	Your system storage is no longer available! The game will return to the main menu.
utxt075	Change Profile
utxt093	Up?
utxt094	Left?
utxt095	Down?
utxt096	Right?
utxt097	Move a stick
utxt098	Mouse or Keyboard?
utxt099	Mouse
utxt100	Keyboard
utxt101	Press any button
utxt102	Press any key or mouse button
utxt103	Action 1
utxt104	Action 2
utxt105	Action 3
utxt106	Reset Defaults
utxt019	© 2014 Double Fine Productions, Inc. All rights reserved.
utxt020	Press Any Button to Start
utxt076	Press /kBI_Accept/
rich015	/action/ in /location/
rich001	The Main Menu
rich006	End Credits
rich018	Level
rich019	Time Played
howp003	How To Play
howp022	Pause
howp028	Interaction
howp029	Movement

#LocalizedCredits

crfr0101	FRENCH VERSION PRODUCED BY UBI SOFT
crfr0102	Marketing
crfr0103	Localization coordination
crfr0104	Budget
crfr0105	Translation
crfr0106	Adaptation
crfr0107	Voice management
crfr0108	With voices of
crfr0109	Sound engineers
crfr0110	Post-production manager
crfr0111	Post-production
crfr0112	Graphic department
crfr0113	Test manager
crfr0114	Lead tester
crfr0115	Testers
crfr0116	Special thanks to
crfr0117	and to all the actors
crit0101	Italian version
crit0102	Localization manager
crit0103	Localization coordination
crit0104	Voice management
crit0105	Sound engineers
